source_file,sheet,assay_date,well,plate_row,plate_col,readout,value
BWII Compounds.xlsx,052824,2024-05-31,A1,A,1,450,0.04
BWII Compounds.xlsx,052824,2024-05-31,A2,A,2,450,0.04
BWII Compounds.xlsx,052824,2024-05-31,A3,A,3,450,0.048
BWII Compounds.xlsx,052824,2024-05-31,A4,A,4,450,0.046
BWII Compounds.xlsx,052824,2024-05-31,A5,A,5,450,0.041
BWII Compounds.xlsx,052824,2024-05-31,A6,A,6,450,0.041
BWII Compounds.xlsx,052824,2024-05-31,A7,A,7,450,0.04
BWII Compounds.xlsx,052824,2024-05-31,A8,A,8,450,0.04
BWII Compounds.xlsx,052824,2024-05-31,A9,A,9,450,0.04
BWII Compounds.xlsx,052824,2024-05-31,A10,A,10,450,0.04
BWII Compounds.xlsx,052824,2024-05-31,A11,A,11,450,0.039
BWII Compounds.xlsx,052824,2024-05-31,A12,A,12,450,0.04
BWII Compounds.xlsx,052824,2024-05-31,A1,A,1,650,0.036
BWII Compounds.xlsx,052824,2024-05-31,A2,A,2,650,0.036
BWII Compounds.xlsx,052824,2024-05-31,A3,A,3,650,0.045
BWII Compounds.xlsx,052824,2024-05-31,A4,A,4,650,0.04
BWII Compounds.xlsx,052824,2024-05-31,A5,A,5,650,0.036
BWII Compounds.xlsx,052824,2024-05-31,A6,A,6,650,0.037
BWII Compounds.xlsx,052824,2024-05-31,A7,A,7,650,0.038
BWII Compounds.xlsx,052824,2024-05-31,A8,A,8,650,0.037
BWII Compounds.xlsx,052824,2024-05-31,A9,A,9,650,0.037
BWII Compounds.xlsx,052824,2024-05-31,A10,A,10,650,0.039
BWII Compounds.xlsx,052824,2024-05-31,A11,A,11,650,0.038
BWII Compounds.xlsx,052824,2024-05-31,A12,A,12,650,0.036
BWII Compounds.xlsx,052824,2024-05-31,A1,A,1,Delta,0.004
BWII Compounds.xlsx,052824,2024-05-31,A2,A,2,Delta,0.004
BWII Compounds.xlsx,052824,2024-05-31,A3,A,3,Delta,0.003
BWII Compounds.xlsx,052824,2024-05-31,A4,A,4,Delta,0.007
BWII Compounds.xlsx,052824,2024-05-31,A5,A,5,Delta,0.006
BWII Compounds.xlsx,052824,2024-05-31,A6,A,6,Delta,0.005
BWII Compounds.xlsx,052824,2024-05-31,A7,A,7,Delta,0.002
BWII Compounds.xlsx,052824,2024-05-31,A8,A,8,Delta,0.003
BWII Compounds.xlsx,052824,2024-05-31,A9,A,9,Delta,0.003
BWII Compounds.xlsx,052824,2024-05-31,A10,A,10,Delta,0.001
BWII Compounds.xlsx,052824,2024-05-31,A11,A,11,Delta,0.001
BWII Compounds.xlsx,052824,2024-05-31,A12,A,12,Delta,0.003
BWII Compounds.xlsx,052824,2024-05-31,B1,B,1,450,0.041
BWII Compounds.xlsx,052824,2024-05-31,B2,B,2,450,0.973
BWII Compounds.xlsx,052824,2024-05-31,B3,B,3,450,1.01
BWII Compounds.xlsx,052824,2024-05-31,B4,B,4,450,1.164
BWII Compounds.xlsx,052824,2024-05-31,B5,B,5,450,1.147
BWII Compounds.xlsx,052824,2024-05-31,B6,B,6,450,1.099
BWII Compounds.xlsx,052824,2024-05-31,B7,B,7,450,1.276
BWII Compounds.xlsx,052824,2024-05-31,B8,B,8,450,1.154
BWII Compounds.xlsx,052824,2024-05-31,B9,B,9,450,1.08
BWII Compounds.xlsx,052824,2024-05-31,B10,B,10,450,0.935
BWII Compounds.xlsx,052824,2024-05-31,B11,B,11,450,0.11
BWII Compounds.xlsx,052824,2024-05-31,B12,B,12,450,0.04
BWII Compounds.xlsx,052824,2024-05-31,B1,B,1,650,0.038
BWII Compounds.xlsx,052824,2024-05-31,B2,B,2,650,0.049
BWII Compounds.xlsx,052824,2024-05-31,B3,B,3,650,0.051
BWII Compounds.xlsx,052824,2024-05-31,B4,B,4,650,0.057
BWII Compounds.xlsx,052824,2024-05-31,B5,B,5,650,0.06
BWII Compounds.xlsx,052824,2024-05-31,B6,B,6,650,0.06
BWII Compounds.xlsx,052824,2024-05-31,B7,B,7,650,0.065
BWII Compounds.xlsx,052824,2024-05-31,B8,B,8,650,0.058
BWII Compounds.xlsx,052824,2024-05-31,B9,B,9,650,0.056
BWII Compounds.xlsx,052824,2024-05-31,B10,B,10,650,0.063
BWII Compounds.xlsx,052824,2024-05-31,B11,B,11,650,0.061
BWII Compounds.xlsx,052824,2024-05-31,B12,B,12,650,0.037
BWII Compounds.xlsx,052824,2024-05-31,B1,B,1,Delta,0.003
BWII Compounds.xlsx,052824,2024-05-31,B2,B,2,Delta,0.924
BWII Compounds.xlsx,052824,2024-05-31,B3,B,3,Delta,0.959
BWII Compounds.xlsx,052824,2024-05-31,B4,B,4,Delta,1.107
BWII Compounds.xlsx,052824,2024-05-31,B5,B,5,Delta,1.087
BWII Compounds.xlsx,052824,2024-05-31,B6,B,6,Delta,1.04
BWII Compounds.xlsx,052824,2024-05-31,B7,B,7,Delta,1.211
BWII Compounds.xlsx,052824,2024-05-31,B8,B,8,Delta,1.096
BWII Compounds.xlsx,052824,2024-05-31,B9,B,9,Delta,1.024
BWII Compounds.xlsx,052824,2024-05-31,B10,B,10,Delta,0.872
BWII Compounds.xlsx,052824,2024-05-31,B11,B,11,Delta,0.049
BWII Compounds.xlsx,052824,2024-05-31,B12,B,12,Delta,0.004
BWII Compounds.xlsx,052824,2024-05-31,C1,C,1,450,0.056
BWII Compounds.xlsx,052824,2024-05-31,C2,C,2,450,1.146
BWII Compounds.xlsx,052824,2024-05-31,C3,C,3,450,1.261
BWII Compounds.xlsx,052824,2024-05-31,C4,C,4,450,1.154
BWII Compounds.xlsx,052824,2024-05-31,C5,C,5,450,1.115
BWII Compounds.xlsx,052824,2024-05-31,C6,C,6,450,0.974
BWII Compounds.xlsx,052824,2024-05-31,C7,C,7,450,1.27
BWII Compounds.xlsx,052824,2024-05-31,C8,C,8,450,1.125
BWII Compounds.xlsx,052824,2024-05-31,C9,C,9,450,1.176
BWII Compounds.xlsx,052824,2024-05-31,C10,C,10,450,1.032
BWII Compounds.xlsx,052824,2024-05-31,C11,C,11,450,0.1
BWII Compounds.xlsx,052824,2024-05-31,C12,C,12,450,0.038
BWII Compounds.xlsx,052824,2024-05-31,C1,C,1,650,0.046
BWII Compounds.xlsx,052824,2024-05-31,C2,C,2,650,0.061
BWII Compounds.xlsx,052824,2024-05-31,C3,C,3,650,0.071
BWII Compounds.xlsx,052824,2024-05-31,C4,C,4,650,0.057
BWII Compounds.xlsx,052824,2024-05-31,C5,C,5,650,0.057
BWII Compounds.xlsx,052824,2024-05-31,C6,C,6,650,0.058
BWII Compounds.xlsx,052824,2024-05-31,C7,C,7,650,0.058
BWII Compounds.xlsx,052824,2024-05-31,C8,C,8,650,0.063
BWII Compounds.xlsx,052824,2024-05-31,C9,C,9,650,0.067
BWII Compounds.xlsx,052824,2024-05-31,C10,C,10,650,0.058
BWII Compounds.xlsx,052824,2024-05-31,C11,C,11,650,0.055
BWII Compounds.xlsx,052824,2024-05-31,C12,C,12,650,0.036
BWII Compounds.xlsx,052824,2024-05-31,C1,C,1,3.12.08,0.009
BWII Compounds.xlsx,052824,2024-05-31,C2,C,2,3.12.08,1.085
