source_file,sheet,assay_date,compound_label,concentration,concentration_unit,rep1,rep2,rep3,average_delta,sd_delta,normalized_viability_pct,sd_normalized_pct,needs_compound_mapping,ready_for_ec50
CCK BW1 H11 D12 2H11.xlsx,062723,2023-06-30,H11,0.0,BW1 (µM),0.953,0.824,0.915,0.8973333333333334,0.06628976793844835,100.0,8.110493630315865,True,True
CCK BW1 H11 D12 2H11.xlsx,062723,2023-06-30,H11,0.1,BW1 (µM),0.829,0.847,0.837,0.8376666666666667,0.009018499505645797,92.69983686786296,1.1034053228767287,True,True
CCK BW1 H11 D12 2H11.xlsx,062723,2023-06-30,H11,1.0,BW1 (µM),0.823,0.74,0.808,0.7903333333333333,0.04423045707805125,86.90864600326263,5.411556738750152,True,True
CCK BW1 H11 D12 2H11.xlsx,062723,2023-06-30,H11,5.0,BW1 (µM),0.183,0.203,0.187,0.19099999999999998,0.010583005244258372,13.580750407830337,1.2948211962795722,True,True
CCK BW1 H11 D12 2H11.xlsx,062723,2023-06-30,H11,10.0,BW1 (µM),0.105,0.115,0.113,0.111,0.005291502622129186,3.7928221859706355,0.6474105981397861,True,True
CCK BW1 H11 D12 2H11.xlsx,062723,2023-06-30,H11,25.0,BW1 (µM),0.098,0.1,0.107,0.10166666666666667,0.004725815626252605,2.65089722675367,0.5781993017437933,True,True
CCK BW1 H11 D12 2H11.xlsx,062723,2023-06-30,D12,0.0,BW1 (µM),0.624,0.66,0.598,0.6273333333333334,0.03113411847689501,100.0,5.688328588957674,True,True
CCK BW1 H11 D12 2H11.xlsx,062723,2023-06-30,D12,0.1,BW1 (µM),0.602,0.665,0.654,0.6403333333333333,0.03365016097039263,102.37515225334954,6.148019665723379,True,True
CCK BW1 H11 D12 2H11.xlsx,062723,2023-06-30,D12,1.0,BW1 (µM),0.428,0.427,0.438,0.431,0.006082762530298225,64.12911084043847,1.1113451638790908,True,True
CCK BW1 H11 D12 2H11.xlsx,062723,2023-06-30,D12,5.0,BW1 (µM),0.116,0.116,0.116,0.116,0.0,6.577344701583435,0.0,True,True
CCK BW1 H11 D12 2H11.xlsx,062723,2023-06-30,D12,10.0,BW1 (µM),0.11,0.108,0.108,0.10866666666666668,0.0011547005383792527,5.237515225334958,0.2109684296673421,True,True
CCK BW1 H11 D12 2H11.xlsx,062723,2023-06-30,D12,25.0,BW1 (µM),0.106,0.105,0.106,0.10566666666666667,0.0005773502691896263,4.689403166869671,0.10548421483367106,True,True
CCK BW1 H11 D12 2H11.xlsx,062723,2023-06-30,2H11,0.0,BW1 (µM),0.882,0.828,0.908,0.8726666666666666,0.04080849584747441,100.0,5.148254312128816,True,True
CCK BW1 H11 D12 2H11.xlsx,062723,2023-06-30,2H11,0.1,BW1 (µM),0.889,0.851,0.83,0.8566666666666666,0.029905406423142537,97.98149705634988,3.7727594310104124,True,True
CCK BW1 H11 D12 2H11.xlsx,062723,2023-06-30,2H11,1.0,BW1 (µM),0.89,0.83,0.822,0.8473333333333333,0.03716629297271031,96.8040370058873,4.688766985623673,True,True
CCK BW1 H11 D12 2H11.xlsx,062723,2023-06-30,2H11,5.0,BW1 (µM),0.11,0.11,0.113,0.111,0.001732050807568879,3.9108494533221196,0.21850935335183502,True,True
CCK BW1 H11 D12 2H11.xlsx,062723,2023-06-30,2H11,10.0,BW1 (µM),0.107,0.107,0.106,0.10666666666666667,0.0005773502691896263,3.364171572750211,0.07283645111727835,True,True
CCK BW1 H11 D12 2H11.xlsx,062723,2023-06-30,2H11,25.0,BW1 (µM),0.104,0.103,0.111,0.106,0.004358898943540678,3.2800672834314546,0.5499031467881427,True,True
CCK BW1 H11 D12 2H11.xlsx,070423,2023-07-07,H11,0.0,BW1 (µM),0.783,0.719,0.8,0.7673333333333333,0.042712215270731824,100.0,6.21419232842849,True,True
CCK BW1 H11 D12 2H11.xlsx,070423,2023-07-07,H11,0.1,BW1 (µM),0.746,0.704,0.749,0.733,0.02515949125081827,95.00484966052376,3.6604497455118725,True,True
CCK BW1 H11 D12 2H11.xlsx,070423,2023-07-07,H11,1.0,BW1 (µM),0.713,0.706,0.646,0.6883333333333334,0.03682843104631707,88.50630455868091,5.358161645923919,True,True
CCK BW1 H11 D12 2H11.xlsx,070423,2023-07-07,H11,2.5,BW1 (µM),0.334,0.338,0.381,0.351,0.026057628441590756,39.42774005819592,3.7911195598822633,True,True
CCK BW1 H11 D12 2H11.xlsx,070423,2023-07-07,H11,5.0,BW1 (µM),0.145,0.146,0.138,0.143,0.004358898943540661,9.165858389912703,0.6341754040068857,True,True
CCK BW1 H11 D12 2H11.xlsx,070423,2023-07-07,H11,10.0,BW1 (µM),0.119,0.124,0.117,0.12,0.0036055512754639865,5.819592628516003,0.5245709906106673,True,True
CCK BW1 H11 D12 2H11.xlsx,070423,2023-07-07,D12,0.0,BW1 (µM),0.919,0.623,0.793,0.7783333333333333,0.1485440450954985,100.0,21.27122364136017,True,True
CCK BW1 H11 D12 2H11.xlsx,070423,2023-07-07,D12,0.1,BW1 (µM),0.809,0.781,0.838,0.8093333333333333,0.02850146195080757,104.43914081145584,4.081354933289867,True,True
CCK BW1 H11 D12 2H11.xlsx,070423,2023-07-07,D12,1.0,BW1 (µM),0.79,0.757,0.66,0.7356666666666668,0.06757465007925186,93.89021479713607,9.676560870537259,True,True
CCK BW1 H11 D12 2H11.xlsx,070423,2023-07-07,D12,2.5,BW1 (µM),0.287,0.276,0.333,0.29866666666666664,0.030237945256470944,31.312649164677797,4.330016027179609,True,True
CCK BW1 H11 D12 2H11.xlsx,070423,2023-07-07,D12,5.0,BW1 (µM),0.122,0.13,0.128,0.12666666666666668,0.0041633319989322695,6.682577565632459,0.5961811931645254,True,True
CCK BW1 H11 D12 2H11.xlsx,070423,2023-07-07,D12,10.0,BW1 (µM),0.113,0.113,0.123,0.11633333333333333,0.0057735026918962545,5.202863961813842,0.8267545620853824,True,True
CCK BW1 H11 D12 2H11.xlsx,070423,2023-07-07,2H11,0.0,BW1 (µM),1.132,1.314,1.448,1.2979999999999998,0.15860643114325476,100.0,13.021874478099738,True,True
CCK BW1 H11 D12 2H11.xlsx,070423,2023-07-07,2H11,0.1,BW1 (µM),1.197,1.631,1.46,1.4293333333333333,0.21861915134162563,110.78270388615219,17.949027203745953,True,True
CCK BW1 H11 D12 2H11.xlsx,070423,2023-07-07,2H11,1.0,BW1 (µM),1.301,1.399,1.383,1.361,0.05257375771237971,105.17241379310347,4.316400468996693,True,True
CCK BW1 H11 D12 2H11.xlsx,070423,2023-07-07,2H11,2.5,BW1 (µM),0.963,0.848,1.007,0.9393333333333332,0.08209953308840025,70.55281882868091,6.740519957996738,True,True
CCK BW1 H11 D12 2H11.xlsx,070423,2023-07-07,2H11,5.0,BW1 (µM),0.193,0.207,0.235,0.21166666666666667,0.021385353243127243,10.810071154898743,1.7557761283355706,True,True
CCK BW1 H11 D12 2H11.xlsx,070423,2023-07-07,2H11,10.0,BW1 (µM),0.117,0.115,0.118,0.11666666666666665,0.001527525231651942,3.010399562123699,0.12541258059539756,True,True
CCK BW1 H11 D12 2H11.xlsx,070723,2023-07-10,H11,0.0,BW1 (µM),0.511,0.479,0.63,0.54,0.07956758133812991,100.0,17.29730029089781,True,True
