compound_id,paper_id,source_section,smiles_raw,notes_raw,source_file,source_row_excel_1based,needs_manual_review,smiles_clean,smiles_valid,smiles_error,mol_wt_rdkit,logp_rdkit,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,heavy_atoms
BW-II-1,,Compounds made and tested by UAMS,COC1=C(/C=C2N=C(C3=CC=CN3)C=C\2OC)NC(C4=CC=CN4)=C1,confirmed by MS,Unnatural prodigionsin_Smiles.xlsx,2,False,COC1=CC(c2ccc[nH]2)=N/C1=C\c1[nH]c(-c2ccc[nH]2)cc1OC,True,,334.3790000000001,3.720600000000001,78.19,3,3,5,3,25
BW-II-103,,Compounds made and tested by UAMS,C1(C2=NC3=C(C=CC=C3)S2)=CC=CN1,1HNMR,Unnatural prodigionsin_Smiles.xlsx,13,False,c1c[nH]c(-c2nc3ccccc3s2)c1,True,,200.266,3.291400000000001,28.68,1,2,1,3,14
BW-II-106,,Compounds made and tested by UAMS,ClC1=CC2=C(C=C1)SC(C3=CC=CN3)=N2,,Unnatural prodigionsin_Smiles.xlsx,21,False,Clc1ccc2sc(-c3ccc[nH]3)nc2c1,True,,234.711,3.9448000000000016,28.68,1,2,1,3,15
BW-II-110,,Compounds made and tested by UAMS,COC(C=C1)=CC2=C1N=C(S2)C3=CC=CN3,,Unnatural prodigionsin_Smiles.xlsx,29,False,COc1ccc2nc(-c3ccc[nH]3)sc2c1,True,,230.29200000000003,3.3000000000000016,37.91,1,3,2,3,16
Proposed-benzothiazole-001,,Proposed Unnatural prodigiosin analogs as anti-cancer drugs,COC1=C(C2=NC3=C(C=CC=C3)S2)NC(C4=CC=CN4)=C1,,Unnatural prodigionsin_Smiles.xlsx,40,True,COc1cc(-c2ccc[nH]2)[nH]c1-c1nc2ccccc2s1,True,,295.367,4.2951000000000015,53.7,2,3,3,4,21
JP-Cmpd-6,JP-Cmpd-6,Proposed Unnatural prodigiosin analogs as anti-cancer drugs,COC1=CC(C(S2)=NC3=C2C=CC=C3)=N/C1=C\C4=CC=CN4,,Unnatural prodigionsin_Smiles.xlsx,48,False,COC1=CC(c2nc3ccccc3s2)=N/C1=C\c1ccc[nH]1,True,,307.378,3.9985000000000026,50.27,1,4,3,3,22
JP-Cmpd-10,JP-Cmpd-10,Proposed Unnatural prodigiosin analogs as anti-cancer drugs,COC1=CC(C2=CC=CN2)=N/C1=C\C3=NC(C=CC=C4)=C4S3,,Unnatural prodigionsin_Smiles.xlsx,55,False,COC1=CC(c2ccc[nH]2)=N/C1=C\c1nc2ccccc2s1,True,,307.37800000000004,3.9985000000000017,50.269999999999996,1,4,3,3,22
Proposed-benzothiazole-002,,Proposed Unnatural prodigiosin analogs as anti-cancer drugs,CCCC(C=C1)=CC2=C1N=C(S2)C(NC(C3=CC=CN3)=C4)=C4OC,,Unnatural prodigionsin_Smiles.xlsx,66,True,CCCc1ccc2nc(-c3[nH]c(-c4ccc[nH]4)cc3OC)sc2c1,True,,337.4480000000001,5.247600000000003,53.7,2,3,5,4,24
Proposed-benzothiazole-003,,Proposed Unnatural prodigiosin analogs as anti-cancer drugs,COC1=C(C2=NC3=C(C(C)=CC=C3C)S2)NC(C4=CC=CN4)=C1,,Unnatural prodigionsin_Smiles.xlsx,76,True,COc1cc(-c2ccc[nH]2)[nH]c1-c1nc2c(C)ccc(C)c2s1,True,,323.42100000000005,4.911940000000002,53.7,2,3,3,4,23
Proposed-benzothiazole-004,,Proposed Unnatural prodigiosin analogs as anti-cancer drugs,COC1=C(C2=NC3=C(C=C(OC)C=C3)S2)NC(C4=CC=CN4)=C1,,Unnatural prodigionsin_Smiles.xlsx,86,True,COc1ccc2nc(-c3[nH]c(-c4ccc[nH]4)cc3OC)sc2c1,True,,325.3930000000001,4.303700000000003,62.92999999999999,2,4,4,4,23
Proposed-benzothiazole-005,,Proposed Unnatural prodigiosin analogs as anti-cancer drugs,COC1=C(C2=NC3=C(C=CC=C3Cl)S2)NC(C4=CC=CN4)=C1,,Unnatural prodigionsin_Smiles.xlsx,96,True,COc1cc(-c2ccc[nH]2)[nH]c1-c1nc2c(Cl)cccc2s1,True,,329.812,4.948500000000002,53.7,2,3,3,4,22
Proposed-benzothiazole-006,,Proposed Unnatural prodigiosin analogs as anti-cancer drugs,COC1=C(C2=NC3=C(C=CC=C3C#N)S2)NC(C4=CC=CN4)=C1,,Unnatural prodigionsin_Smiles.xlsx,105,True,COc1cc(-c2ccc[nH]2)[nH]c1-c1nc2c(C#N)cccc2s1,True,,320.377,4.166780000000001,77.49000000000001,2,4,3,4,23
Proposed-benzothiazole-007,,Proposed Unnatural prodigiosin analogs as anti-cancer drugs,COC1=C(C2=NC3=C(C=C(C(F)(F)F)C=C3)S2)NC(C4=CC=CN4)=C1,,Unnatural prodigionsin_Smiles.xlsx,114,True,COc1cc(-c2ccc[nH]2)[nH]c1-c1nc2ccc(C(F)(F)F)cc2s1,True,,363.36400000000003,5.313900000000002,53.7,2,3,3,4,25
