source_file,sheet,assay_date,compound_label,ec50_uM,fit_method,fit_warning
CCK BW1 H11 D12 2H11.xlsx,062723,2023-06-30,2H11,2.1658216537620723,4PL,
CCK BW1 H11 D12 2H11.xlsx,062723,2023-06-30,D12,1.1727288995434235,4PL,
CCK BW1 H11 D12 2H11.xlsx,062723,2023-06-30,H11,2.538625066617126,4PL,
CCK BW1 H11 D12 2H11.xlsx,070423,2023-07-07,2H11,2.863103991798671,4PL,
CCK BW1 H11 D12 2H11.xlsx,070423,2023-07-07,D12,1.8714629955471422,4PL,
CCK BW1 H11 D12 2H11.xlsx,070423,2023-07-07,H11,2.1724545683290883,4PL,
CCK BW1 H11 D12 2H11.xlsx,070723,2023-07-10,2H11,1.7459898124732747,4PL,
CCK BW1 H11 D12 2H11.xlsx,070723,2023-07-10,D12,1.7511985757942663,4PL,
CCK BW1 H11 D12 2H11.xlsx,070723,2023-07-10,H11,1.8090302256210848,4PL,
CCK BW1 H11 D12 2H11.xlsx,071423,2023-07-17,2H11,1.5382860198442816,4PL,
CCK BW1 H11 D12 2H11.xlsx,071423,2023-07-17,D12,1.3118118980788573,4PL,
CCK BW1 H11 D12 2H11.xlsx,071423,2023-07-17,H11,1.762446642464129,4PL,
